t[s],x_t,y_t,A_sample,A_mean,A_var,A_max,A_min,macro_step_time[s]
3422.0,54000.0,54000.0,0.69047717925444,0.009174141335602666,0.0031630674066739227,0.6904771792544399,-0.0022875645740793728,0.061313629150390625
3482.0,55000.0,55000.0,0.6861051777930777,0.00911153204561077,0.0031240386567800114,0.6861051777930776,-0.002274102490600631,0.057276248931884766
3542.0,55000.0,55000.0,0.6785092004321401,0.00904920794130253,0.0030854955480011342,0.67850920043214,-0.0022607973139857876,0.08538460731506348
3602.0,56000.0,56000.0,0.6783011270624895,0.00898716871109057,0.003047431981240431,0.6783011270624894,-0.002247454797883048,0.05971169471740723
3662.0,57000.0,57000.0,0.6699248611233101,0.008925414049802963,0.0030098419342389155,0.66992486112331,-0.002234128944465564,0.12430906295776367
3722.0,57000.0,57000.0,0.6685721537190111,0.00886394364349545,0.0029727194609446396,0.668572153719011,-0.00222089300175237,0.08409404754638672
3782.0,58000.0,58000.0,0.6643124406894609,0.00880275715370105,0.0029360586908932845,0.6643124406894608,-0.0022076719341326593,0.0602262020111084
3842.0,58000.0,58000.0,0.6570134745377456,0.008741854216116535,0.0028998538282718877,0.6570134745377455,-0.002194519667227186,0.08347702026367188
3902.0,59000.0,59000.0,0.6567680761389805,0.008681234453778247,0.0028640991506791607,0.6567680761389805,-0.0021814540013378736,0.06562352180480957
3962.0,60000.0,60000.0,0.6486500707955647,0.008620897491160896,0.0028287890078893202,0.6486500707955647,-0.0021684421522572207,0.057367563247680664
4022.0,60000.0,60000.0,0.6473682594708527,0.008560842956000176,0.002793917820902719,0.6473682594708527,-0.002155503303862724,0.09371685981750488
4082.0,61000.0,61000.0,0.6432185347576196,0.008501070468374585,0.002759480081280571,0.6432185347576195,-0.002142625771271574,0.0605013370513916
4142.0,61000.0,61000.0,0.63620448698936,0.008441579628605823,0.002725470350506609,0.6362044869893599,-0.0021298114305837073,0.060317039489746094
4202.0,62000.0,62000.0,0.6359249423021965,0.008382370015616869,0.0026918832591302307,0.6359249423021964,-0.0021170821615433934,0.08433413505554199
4262.0,63000.0,63000.0,0.6280574558456965,0.008323441196511896,0.0026587135056855616,0.6280574558456964,-0.002104425453237421,0.05984926223754883
4322.0,63000.0,63000.0,0.6268428151379261,0.008264792737507782,0.002625955855601807,0.626842815137926,-0.002091851096576161,0.0790243148803711
4382.0,64000.0,64000.0,0.6228007874265912,0.008206424205934704,0.002593605140317383,0.6228007874265911,-0.002079341556121337,0.12387919425964355
4442.0,64000.0,64000.0,0.6160600804116225,0.008148335162328752,0.0025616562566087467,0.6160600804116224,-0.0020669057902985327,0.06834197044372559
4502.0,65000.0,65000.0,0.6157493722577275,0.00809052515106021,0.002530104165952815,0.6157493722577274,-0.0020545419583717878,0.07184457778930664
4562.0,66000.0,66000.0,0.6081248797870453,0.00803299369859657,0.0024989438937381998,0.6081248797870452,-0.0020422569676656773,0.08933615684509277
4622.0,66000.0,66000.0,0.6069738823349133,0.00797574032052324,0.0024681705283101916,0.6069738823349132,-0.002030038821653822,0.060613393783569336
4682.0,67000.0,67000.0,0.603037272255957,0.007918764530087474,0.0024377792200015974,0.6030372722559569,-0.0020179011345301764,0.06159043312072754
4742.0,67000.0,67000.0,0.596558820521606,0.007862065840201613,0.00240776518030976,0.5965588205216059,-0.0020058303143489363,0.0591740608215332
4802.0,68000.0,68000.0,0.5962197467495648,0.007805643757688573,0.0023781236812371242,0.5962197467495647,-0.001993835746739619,0.059838056564331055
4862.0,69000.0,69000.0,0.588830935147439,0.007749497775976339,0.002348850054667034,0.5888309351474389,-0.001981909652886412,0.08043599128723145
4922.0,69000.0,69000.0,0.5877402409741022,0.007693627373397796,0.0023199396916349533,0.587740240974102,-0.0019700584235074876,0.057280778884887695
4982.0,70000.0,70000.0,0.5839067839582792,0.0076380320183674485,0.0022913880414759664,0.5839067839582791,-0.0019582735069974657,0.06128644943237305
5042.0,70000.0,70000.0,0.5776799722322602,0.007582711176104059,0.00226319061095651,0.5776799722322601,-0.0019465635752798833,0.08135104179382324
5102.0,71000.0,71000.0,0.5773151560725793,0.007527664310540377,0.0022353429635119096,0.5773151560725792,-0.001934918752453469,0.06001567840576172
5162.0,72000.0,72000.0,0.5701549190223952,0.00747289088012435,0.0022078407186093716,0.5701549190223951,-0.0019233479137548105,0.06003618240356445
5222.0,72000.0,72000.0,0.569121365409388,0.007418390332094473,0.002180679551145166,0.5691213654093878,-0.0019118446097939443,0.08486366271972656
5282.0,73000.0,73000.0,0.5653888142740557,0.0073641621008857655,0.0021538551907697096,0.5653888142740556,-0.0019004081653553053,0.0788118839263916
5342.0,73000.0,73000.0,0.5594034765554112,0.007310205611962812,0.00212736342112048,0.5594034765554111,-0.0018890447725620927,0.07409024238586426
5402.0,74000.0,74000.0,0.5590153764165369,0.00725652028713726,0.0021012000790396074,0.5590153764165368,-0.0018777410760318,0.05977439880371094
5462.0,75000.0,75000.0,0.5520768094657961,0.007203105546331414,0.0020753610538687007,0.552076809465796,-0.0018665160417526772,0.05892205238342285
5522.0,75000.0,75000.0,0.5510974013846466,0.007149960804504355,0.0020498422868406225,0.5510974013846465,-0.00185534454538371,0.08525896072387695
5582.0,76000.0,76000.0,0.5474635286699949,0.007097085467126145,0.0020246397705031907,0.5474635286699948,-0.001844255224471263,0.058931589126586914
5642.0,76000.0,76000.0,0.5417099282778699,0.007044478928674725,0.001999749548093961,0.5417099282778698,-0.0018332159078853923,0.060317277908325195
5702.0,77000.0,77000.0,0.5413008470124857,0.006992140575376726,0.001975167712847104,0.5413008470124856,-0.0018222591404252152,0.08766937255859375
5762.0,78000.0,78000.0,0.534577242688928,0.006940069789212119,0.0019508904072879777,0.5345772426889279,-0.0018113501957191754,0.06083226203918457
5822.0,78000.0,78000.0,0.5336491437592309,0.0068882659490611745,0.0019269138225875737,0.5336491437592308,-0.0018005266724206907,0.13057684898376465
5882.0,79000.0,79000.0,0.530111743831409,0.006836728427557146,0.0019032341979981938,0.5301117438314089,-0.001789744336252579,0.079498291015625
5942.0,79000.0,79000.0,0.5245805543838636,0.006785456585739446,0.0018798478203292165,0.5245805543838636,-0.0017790525011024511,0.06778740882873535
6002.0,80000.0,80000.0,0.5241526480544448,0.006734449768316472,0.001856751023410664,0.5241526480544447,-0.0017684036407787896,0.0794517993927002
6062.0,81000.0,81000.0,0.5176374910392698,0.006683707299340729,0.00183394018754385,0.5176374910392697,-0.0017578330641284624,0.08050012588500977
6122.0,81000.0,81000.0,0.5167580149837678,0.0066332284737557895,0.0018114117390076467,0.5167580149837678,-0.001747316855448567,0.07872772216796875
6182.0,82000.0,82000.0,0.5133149059216296,0.006583012537577716,0.0017891621497239702,0.5133149059216295,-0.001736866909554388,0.05986142158508301
6242.0,82000.0,82000.0,0.5079971931994159,0.006533058648867395,0.001767187937180528,0.5079971931994159,-0.0017264802286862196,0.08186197280883789
6302.0,83000.0,83000.0,0.5075524793679771,0.0064833658104276395,0.0017454856647081875,0.5075524793679771,-0.0017161500246861048,0.10563945770263672
6362.0,84000.0,84000.0,0.5012394417354997,0.0064339327597368115,0.0017240519422698495,0.5012394417354997,-0.0017058908101538017,0.07693743705749512
6422.0,84000.0,84000.0,0.5004060443121803,0.006384757790314796,0.0017028834280568834,0.5004060443121803,-0.0016956793481081828,0.05891847610473633
6482.0,85000.0,85000.0,0.4970550695414616,0.006335838462292608,0.0016819768313842927,0.49705506954146156,-0.0016855456679654606,0.07958054542541504
6542.0,85000.0,85000.0,0.4919422741188579,0.006287171139719778,0.0016613289175941882,0.4919422741188578,-0.001675456013944342,0.0842750072479248
6602.0,86000.0,86000.0,0.49148264016579046,0.006238750267494001,0.0016409365159134567,0.4914826401657904,-0.001665441895923645,0.05962562561035156
6662.0,87000.0,87000.0,0.48536557522229357,0.006190567268835575,0.0016207965314862826,0.4853655752222935,-0.001655478626004133,0.07855820655822754
6722.0,87000.0,87000.0,0.4845758449113081,0.00614260890181528,0.0016009059631148692,0.48457584491130806,-0.0016455840420513024,0.15147900581359863
6782.0,88000.0,88000.0,0.481314885246018,0.006094854859922298,0.0015812619285037184,0.48131488524601795,-0.0016357434588407307,0.12087774276733398
6842.0,88000.0,88000.0,0.4763988164135389,0.006047274340077276,0.001561861698774986,0.4763988164135388,-0.0016259629983479374,0.061116933822631836
6902.0,89000.0,89000.0,0.47592596175111285,0.005999821237856095,0.0015427027432433709,0.4759259617511128,-0.0016162492932752701,0.0862722396850586
6962.0,90000.0,90000.0,0.46999906328130714,0.005952427571748519,0.00152378278309891,0.4699990632813071,-0.0016065873948112324,0.13090753555297852
7022.0,90000.0,90000.0,0.4692508439956148,0.00590499469575516,0.001505099847354534,0.46925084399561473,-0.0015969783249485767,0.05920553207397461
7082.0,91000.0,91000.0,0.4660770010832641,0.005857381846116185,0.001486652313852246,0.46607700108326405,-0.0015874429508473955,0.06153440475463867
7142.0,91000.0,91000.0,0.4613492614224237,0.005809391602912814,0.0014684388986285044,0.46134926142242366,-0.001577956571321414,0.08788156509399414
7202.0,92000.0,92000.0,0.4608682793012954,0.005760751955995431,0.0014504585231858793,0.46086827930129537,-0.0015685159738594715,0.0700685977935791
7262.0,93000.0,93000.0,0.4551185431388556,0.005711094875562243,0.001432709934194803,0.4551185431388555,-0.0015591565323957238,0.08771038055419922
7322.0,93000.0,93000.0,0.4544058086924356,0.005659931627495159,0.0014151908658743358,0.4544058086924355,-0.0015498415318863435,0.13059687614440918
7382.0,94000.0,94000.0,0.45134257957011065,0.0056066255619944124,0.0013978964148029216,0.4513425795701106,-0.001540566703725123,0.05959796905517578
7442.0,94000.0,94000.0,0.44680727016701893,0.005550363748115254,0.0013808161381350951,0.4468072701670189,-0.0015313832920077271,0.06077885627746582
7502.0,95000.0,95000.0,0.4462397987440903,0.005490129613706424,0.0013639291983398368,0.44623979874409025,-0.0015222292248265946,0.1577281951904297
7562.0,96000.0,96000.0,0.44080245974099674,0.005424679638400536,0.0013471966897162615,0.4408024597409967,-0.0015131242174041633,0.14816808700561523
7622.0,96000.0,96000.0,0.44017221422353575,0.0053525280563077,0.0013305501527579682,0.4401722142235357,-0.0015041272292318651,0.06591296195983887
7682.0,97000.0,97000.0,0.4368534690578005,0.005271944327950551,0.0013138753079187568,0.4368534690578004,-0.0014951064062907404,0.13990187644958496
7742.0,97000.0,97000.0,0.4323992244388061,0.005180968663435979,0.0012969903544181732,0.432399224438806,-0.0014862341561676538,0.06611824035644531
7802.0,98000.0,98000.0,0.4325803516204441,0.005077450909777213,0.0012796189407520465,0.43258035162044406,-0.0014774444956434571,0.09793734550476074
7862.0,99000.0,99000.0,0.4262037079989877,0.00495911743154609,0.0012613592684371372,0.42620370799898766,-0.001468625219275439,0.0620577335357666
